03/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 62.46 
04/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 53.38 
05/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.83 
06/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.21 
07/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.54 
08/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.39 
10/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.08 
11/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.67 
12/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36 
13/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.75 
14/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 31.96 
15/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.5 
16/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.29 
17/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.83 
18/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.46 
19/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.78 
20/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37 
22/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.75 
23/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.14 
24/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 39.14 
25/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.29 
26/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.09 
27/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.88 
