05/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 9.5 
06/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
06/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 4 
06/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.5 
07/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
08/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 6 
08/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 9.5 
08/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
11/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 8 
13/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
13/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 3 
13/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
14/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 4 
