03/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.88 
04/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 21.26 
05/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 21.08 
06/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.26 
07/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 21.94 
08/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.03 
10/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.1 
11/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.15 
12/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 21.66 
13/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.52 
14/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 23.29 
15/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 23.79 
16/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.26 
17/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.88 
18/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 22.21 
19/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.7 
20/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.93 
22/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 21.55 
23/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.69 
24/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 18.86 
25/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.9 
26/08/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Temperatura ; °C ; 20.64 
