01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
01/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
02/07/2016; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
