 01/07/2016 02:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 03:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 04:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 05:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 06:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 07:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 08:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 09:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 10:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 11:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 12:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 01:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 02:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 03:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 04:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 05:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 06:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 07:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 08:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 09:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 10:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 01/07/2016 11:00:00 p.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 12:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 01:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 02:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 03:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 04:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 05:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
 02/07/2016 06:00:00 a.m. ; CORPOBOYACA ; Móvil Juan José Rondón ; Automática ; 5.741111 ; -72.906131 ; 15 ; BOYACÁ ; 15759 ; SOGAMOSO ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
