03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 52 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 61 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 66 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 67 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 69 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 68 
03/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 65 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 60 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 57 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 57 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 62 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 70 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 73 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 74 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 75 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 70 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 71 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 66 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 62 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 55 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 56 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 60 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 62 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 66 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 52 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 65 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 67 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 68 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 68 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 67 
04/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 69 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 73 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 74 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 76 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 76 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 76 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 70 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 69 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 68 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 55 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 51 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 62 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 68 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 67 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 67 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 71 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 71 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 73 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 74 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 72 
05/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 70 
06/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 65 
06/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 64 
06/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 63 
06/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 63 
