01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
01/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.9 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
02/04/2011; CORPOGUAJIRA ; Fonseca ; Automática ; 10.895389 ; -72.83475 ; 44 ; LA GUAJIRA ; 44279 ; FONSECA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.3 
