01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.6 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.7 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.7 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.7 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.6 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.6 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4.5 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.6 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.6 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
01/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.7 
02/01/2016; CORPOGUAJIRA ; Barrancas ; Automática ; 10.961139 ; -72.778194 ; 44 ; LA GUAJIRA ; 44078 ; BARRANCAS ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
