01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2013; CDMB ; Centro ; Automática ; 7.119263 ; -73.127055 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
