01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
01/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
02/01/2017; CDMB ; Ciudadela ; Automática ; 7.106365 ; -73.123611 ; 68 ; SANTANDER ; 68001 ; BUCARAMANGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
