01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 76.4 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 76.6 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 81 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 77.3 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 74.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 82.3 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 81.9 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 72.1 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 68.5 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 61.9 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 57.2 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 53.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 50.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 48.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 45.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 45.7 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 48.1 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 50.8 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 56.2 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 58.2 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 60 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 60.4 
01/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 61.2 
02/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 65 
02/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 72.8 
02/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 77 
02/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 84 
02/01/2011; DAGMA ; ERA-Obrero ; Automática ; 3.450419 ; -76.522267 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Humedad Relativa ; % ; 88.6 
