03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4.2 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 6.8 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 7.3 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.4 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.8 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.5 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.8 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.6 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.9 
03/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.1 
04/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.7 
04/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.5 
04/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.5 
04/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.5 
04/04/2014; DAGMA ; Compartir ; Automática ; 3.428389 ; -76.4667 ; 76 ; VALLE DEL CAUCA ; 76001 ; CALI ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.2 
