Cultivo;Precipitaciión liquida (mm);Velocidad de viento (m/s);Temperatura Minima (°c);Temperatura Maxima (°c);Humedad Relativa (%)
Aguacate;1600;S/R;14;24;75-80
Cacao;2500;2;22;33;72-75
Chontaduro;2500;S/R;26;28;77-80
Granadilla;3200;S/R;16;24;82-85
Soya;300;S/R;20;30;55-14
Trigo;350;1;10;24;50-60
Tomate;750;S/R;10;35;65-75
Yuca;1750;S/R;25;29;70-72
Arroz;1500;1,5;7;23;80-85
Maiz;500;S/R;8;27;62-70
Cafe;2000;0,5;19;22;45-50
Papa;600;3,5;13;23;40-50
Platano;120;0,75;26;27;35-45
Cebolla;1200;S/R;14;32;37-42
Caña de azucar;1200;1,5;14;38;75-85
Mango;900;1;10;20;30-40
Uva;600;S/R;15;30;25-30
Frijol;350;S/R;15;29;15-20
Limon;900;1;17;38;25-30
